经度,纬度,海拔
104.418708801270,29.508661270142,
104.418609619141,29.508684158325,
104.418510437012,29.508707046509,
104.418411254883,29.508731842041,
104.418312072754,29.508754730225,
104.418212890625,29.508777618408,
104.418113708496,29.508800506592,
104.418014526367,29.508823394775,
104.417984008789,29.508831024170,
104.417915344238,29.508846282959,
104.417816162109,29.508869171143,
104.417716979980,29.508893966675,
104.417610168457,29.508916854858,
104.417510986328,29.508939743042,
104.417411804199,29.508964538574,
104.417312622070,29.508987426758,
104.417213439941,29.509010314941,
104.417114257812,29.509035110474,
104.417015075684,29.509057998657,
104.416915893555,29.509080886841,
104.416816711426,29.509105682373,
104.416717529297,29.509128570557,
104.416618347168,29.509153366089,
104.416519165039,29.509176254272,
104.416419982910,29.509199142456,
104.416320800781,29.509223937988,
104.416221618652,29.509246826172,
104.416122436523,29.509269714355,
104.416091918945,29.509277343750,
104.416015625000,29.509290695190,
104.415916442871,29.509311676025,
104.415817260742,29.509332656860,
104.415718078613,29.509353637695,
104.415618896484,29.509374618530,
104.415519714355,29.509395599365,
104.415420532227,29.509416580200,
104.415313720703,29.509437561035,
104.415214538574,29.509456634521,
104.415115356445,29.509477615356,
104.415016174316,29.509498596191,
104.414916992188,29.509519577026,
104.414817810059,29.509540557861,
104.414710998535,29.509561538696,
104.414627075195,29.509578704834,
104.414627075195,29.509590148926,
104.414634704590,29.509679794312,
104.414642333984,29.509769439697,
104.414649963379,29.509859085083,
104.414657592773,29.509948730469,
104.414665222168,29.510038375854,
104.414672851562,29.510128021240,
104.414680480957,29.510217666626,
104.414688110352,29.510307312012,
104.414695739746,29.510396957397,
104.414703369141,29.510486602783,
104.414710998535,29.510576248169,
104.414718627930,29.510665893555,
104.414726257324,29.510753631592,
104.414733886719,29.510843276978,
104.414749145508,29.510932922363,
104.414756774902,29.511022567749,
104.414764404297,29.511112213135,
104.414772033691,29.511201858521,
104.414779663086,29.511291503906,
104.414787292480,29.511381149292,
104.414794921875,29.511470794678,
104.414794921875,29.511520385742,
104.414802551270,29.511560440063,
104.414825439453,29.511648178101,
104.414840698242,29.511737823486,
104.414855957031,29.511825561523,
104.414871215820,29.511915206909,
104.414886474609,29.512002944946,
104.414909362793,29.512092590332,
104.414924621582,29.512180328369,
104.414939880371,29.512269973755,
104.414955139160,29.512357711792,
104.414978027344,29.512445449829,
104.414993286133,29.512535095215,
104.415008544922,29.512622833252,
104.415023803711,29.512712478638,
104.415039062500,29.512800216675,
104.415061950684,29.512889862061,
104.415077209473,29.512977600098,
104.415092468262,29.513067245483,
104.415107727051,29.513154983521,
104.415130615234,29.513244628906,
104.415138244629,29.513313293457,
104.415153503418,29.513330459595,
104.415199279785,29.513408660889,
104.415252685547,29.513488769531,
104.415298461914,29.513566970825,
104.415351867676,29.513645172119,
104.415397644043,29.513725280762,
104.415451049805,29.513803482056,
104.415496826172,29.513881683350,
104.415550231934,29.513961791992,
104.415596008301,29.514039993286,
104.415641784668,29.514118194580,
104.415695190430,29.514198303223,
104.415740966797,29.514276504517,
